"","tl","delta","prob_R0_above1"
"1",0,0,0.5
"2",1,-35,0
"3",1,-34,1
"4",1,-33,0.5
"5",1,-32,1
"6",1,-31,0
"7",1,-30,0
"8",1,-29,0.428571428571429
"9",1,-28,0.5
"10",1,-27,0.555555555555556
"11",1,-26,0.375
"12",1,-25,0.571428571428571
"13",1,-24,0.45
"14",1,-23,0.5
"15",1,-22,0.377358490566038
"16",1,-21,0.357894736842105
"17",1,-20,0.48
"18",1,-19,0.456410256410256
"19",1,-18,0.488888888888889
"20",1,-17,0.411949685534591
"21",1,-16,0.497716894977169
"22",1,-15,0.521523178807947
"23",1,-14,0.493487698986975
"24",1,-13,0.508611955420466
"25",1,-12,0.479793637145314
"26",1,-11,0.505708529214238
"27",1,-10,0.490757304710793
"28",1,-9,0.505060240963855
"29",1,-8,0.503554997908825
"30",1,-7,0.500352609308886
"31",1,-6,0.499276829621059
"32",1,-5,0.493419533595013
"33",1,-4,0.490884072927417
"34",1,-3,0.500478927203065
"35",1,-2,0.49663623258049
"36",1,-1,0.497757650369328
"37",1,0,0.504431626336522
"38",1,1,0.500790513833992
"39",1,2,0.503179728010958
"40",1,3,0.503327787021631
"41",1,4,0.495746326372776
"42",1,5,0.499061209162599
"43",1,6,0.487752928647497
"44",1,7,0.488659793814433
"45",1,8,0.463768115942029
"46",1,9,0.502347417840376
"47",1,10,0.532428355957768
"48",1,11,0.493273542600897
"49",1,12,0.506738544474393
"50",1,13,0.491666666666667
"51",1,14,0.468965517241379
"52",1,15,0.533898305084746
"53",1,16,0.545454545454545
"54",1,17,0.39622641509434
"55",1,18,0.40625
"56",1,19,0.470588235294118
"57",1,20,0.214285714285714
"58",1,21,0.333333333333333
"59",1,22,0.428571428571429
"60",1,23,0.666666666666667
"61",1,24,0.333333333333333
"62",1,25,0
"63",2,-36,1
"64",2,-35,1
"65",2,-34,0.5
"66",2,-33,0.5
"67",2,-32,1
"68",2,-31,0
"69",2,-30,0
"70",2,-29,0.3
"71",2,-28,0.1875
"72",2,-27,0.454545454545455
"73",2,-26,0.25
"74",2,-25,0.333333333333333
"75",2,-24,0.369565217391304
"76",2,-23,0.340909090909091
"77",2,-22,0.416666666666667
"78",2,-21,0.315789473684211
"79",2,-20,0.322751322751323
"80",2,-19,0.357758620689655
"81",2,-18,0.401812688821752
"82",2,-17,0.37855579868709
"83",2,-16,0.409867172675522
"84",2,-15,0.394601542416452
"85",2,-14,0.433667781493868
"86",2,-13,0.443514644351464
"87",2,-12,0.457396046353102
"88",2,-11,0.431535269709544
"89",2,-10,0.446131941148552
"90",2,-9,0.464894058994599
"91",2,-8,0.468372943327239
"92",2,-7,0.46477093206951
"93",2,-6,0.486739887489954
"94",2,-5,0.487730727470141
"95",2,-4,0.490365448504983
"96",2,-3,0.490171284055639
"97",2,-2,0.490826762432665
"98",2,-1,0.494596509876871
"99",2,0,0.503740085735608
"100",2,1,0.508532423208191
"101",2,2,0.526939080337139
"102",2,3,0.538695807954138
"103",2,4,0.542058823529412
"104",2,5,0.536983669548511
"105",2,6,0.588195386702849
"106",2,7,0.558404558404558
"107",2,8,0.591194968553459
"108",2,9,0.588815789473684
"109",2,10,0.581896551724138
"110",2,11,0.624624624624625
"111",2,12,0.61328125
"112",2,13,0.616352201257862
"113",2,14,0.596491228070175
"114",2,15,0.5875
"115",2,16,0.666666666666667
"116",2,17,0.620689655172414
"117",2,18,0.7
"118",2,19,0.75
"119",2,20,0.454545454545455
"120",2,21,0.625
"121",2,22,0
"122",2,23,0.5
"123",2,24,1
"124",2,25,1
"125",2,26,1
"126",2,31,1
"127",3,-38,1
"128",3,-37,0
"129",3,-36,0.5
"130",3,-34,0
"131",3,-33,0.333333333333333
"132",3,-32,0.2
"133",3,-31,0.0909090909090909
"134",3,-30,0.333333333333333
"135",3,-29,0.222222222222222
"136",3,-28,0.259259259259259
"137",3,-27,0.3125
"138",3,-26,0.181818181818182
"139",3,-25,0.181818181818182
"140",3,-24,0.253968253968254
"141",3,-23,0.24390243902439
"142",3,-22,0.202614379084967
"143",3,-21,0.240837696335079
"144",3,-20,0.246376811594203
"145",3,-19,0.29320987654321
"146",3,-18,0.330296127562642
"147",3,-17,0.329501915708812
"148",3,-16,0.341292134831461
"149",3,-15,0.342251950947603
"150",3,-14,0.336660617059891
"151",3,-13,0.389173372348208
"152",3,-12,0.392367322599881
"153",3,-11,0.405405405405405
"154",3,-10,0.431077694235589
"155",3,-9,0.437354988399072
"156",3,-8,0.454155672823219
"157",3,-7,0.454065159964778
"158",3,-6,0.473216489755616
"159",3,-5,0.461782765191615
"160",3,-4,0.471958862285072
"161",3,-3,0.491778944964604
"162",3,-2,0.485513946678995
"163",3,-1,0.496805463758537
"164",3,0,0.502276017231456
"165",3,1,0.527698672827898
"166",3,2,0.553110262744217
"167",3,3,0.572774659182037
"168",3,4,0.606267029972752
"169",3,5,0.636460554371002
"170",3,6,0.649960845732185
"171",3,7,0.633928571428571
"172",3,8,0.711356466876972
"173",3,9,0.692452830188679
"174",3,10,0.727544910179641
"175",3,11,0.665413533834586
"176",3,12,0.718918918918919
"177",3,13,0.75
"178",3,14,0.804878048780488
"179",3,15,0.790322580645161
"180",3,16,0.794871794871795
"181",3,17,0.821428571428571
"182",3,18,0.947368421052632
"183",3,19,0.733333333333333
"184",3,20,0.5
"185",3,22,1
"186",3,23,1
"187",3,25,1
"188",3,27,1
"189",3,31,1
"190",4,-35,0
"191",4,-34,0
"192",4,-33,0
"193",4,-32,0.111111111111111
"194",4,-31,0.0909090909090909
"195",4,-30,0
"196",4,-29,0.125
"197",4,-28,0.142857142857143
"198",4,-27,0.157894736842105
"199",4,-26,0.152542372881356
"200",4,-25,0.180722891566265
"201",4,-24,0.181034482758621
"202",4,-23,0.170212765957447
"203",4,-22,0.172972972972973
"204",4,-21,0.155893536121673
"205",4,-20,0.218130311614731
"206",4,-19,0.235955056179775
"207",4,-18,0.254681647940075
"208",4,-17,0.225146198830409
"209",4,-16,0.299421965317919
"210",4,-15,0.282375851996105
"211",4,-14,0.318181818181818
"212",4,-13,0.341152815013405
"213",4,-12,0.348308374930671
"214",4,-11,0.361722488038278
"215",4,-10,0.386417791898332
"216",4,-9,0.405356496561708
"217",4,-8,0.423905943827564
"218",4,-7,0.436036550542547
"219",4,-6,0.462686567164179
"220",4,-5,0.453128247765537
"221",4,-4,0.478835978835979
"222",4,-3,0.475546901844004
"223",4,-2,0.47846296870158
"224",4,-1,0.49850045638284
"225",4,0,0.501766228315613
"226",4,1,0.543781654473832
"227",4,2,0.590760672390857
"228",4,3,0.641422959406373
"229",4,4,0.66702663786897
"230",4,5,0.697582911748173
"231",4,6,0.711005542359462
"232",4,7,0.764004767580453
"233",4,8,0.777947932618683
"234",4,9,0.803312629399586
"235",4,10,0.794202898550725
"236",4,11,0.863117870722434
"237",4,12,0.859375
"238",4,13,0.888059701492537
"239",4,14,0.888888888888889
"240",4,15,0.936507936507937
"241",4,16,0.95
"242",4,17,0.902439024390244
"243",4,18,1
"244",4,19,1
"245",4,20,1
"246",4,21,1
"247",4,22,1
"248",4,23,0
"249",4,24,1
"250",4,25,1
"251",4,26,1
"252",5,-39,0
"253",5,-38,0
"254",5,-37,0
"255",5,-36,0
