"","tl","delta","prob_R0_above1"
"1",0,0,0.5
"2",1,-10,0.5
"3",1,-9,0.4
"4",1,-8,0.315789473684211
"5",1,-7,0.517241379310345
"6",1,-6,0.41875
"7",1,-5,0.48048048048048
"8",1,-4,0.46520618556701
"9",1,-3,0.497098646034816
"10",1,-2,0.518461538461538
"11",1,-1,0.508806818181818
"12",1,0,0.512569462820852
"13",1,1,0.506748071979435
"14",1,2,0.48361858190709
"15",1,3,0.486415425065732
"16",1,4,0.434782608695652
"17",1,5,0.531531531531532
"18",1,6,0.425531914893617
"19",1,7,0.393939393939394
"20",1,8,0.153846153846154
"21",1,9,0
"22",2,-11,0.5
"23",2,-10,0.4
"24",2,-9,0.333333333333333
"25",2,-8,0.3125
"26",2,-7,0.430555555555556
"27",2,-6,0.373626373626374
"28",2,-5,0.433862433862434
"29",2,-4,0.457705677867903
"30",2,-3,0.456716417910448
"31",2,-2,0.492921013412817
"32",2,-1,0.492134831460674
"33",2,0,0.516469038208169
"34",2,1,0.521470396877033
"35",2,2,0.533606977937404
"36",2,3,0.504016064257028
"37",2,4,0.506637168141593
"38",2,5,0.573170731707317
"39",2,6,0.454545454545455
"40",2,7,0.666666666666667
"41",2,8,0.5
"42",2,12,1
"43",3,-11,0
"44",3,-10,0
"45",3,-9,0.25
"46",3,-8,0.25
"47",3,-7,0.337349397590361
"48",3,-6,0.387640449438202
"49",3,-5,0.378132118451025
"50",3,-4,0.40752688172043
"51",3,-3,0.448438420742487
"52",3,-2,0.478012155881301
"53",3,-1,0.486508810572687
"54",3,0,0.504149933065596
"55",3,1,0.53405017921147
"56",3,2,0.560217983651226
"57",3,3,0.566184649610678
"58",3,4,0.642335766423358
"59",3,5,0.605555555555556
"60",3,6,0.654545454545455
"61",3,7,0.647058823529412
"62",3,8,0.75
"63",3,9,0.75
"64",4,-13,0
"65",4,-11,0
"66",4,-10,0.285714285714286
"67",4,-9,0.214285714285714
"68",4,-8,0.2
"69",4,-7,0.277227722772277
"70",4,-6,0.339449541284404
"71",4,-5,0.378787878787879
"72",4,-4,0.377049180327869
"73",4,-3,0.414237668161435
"74",4,-2,0.435181784796181
"75",4,-1,0.47079988928868
"76",4,0,0.515331100231899
"77",4,1,0.551379310344828
"78",4,2,0.5941143808995
"79",4,3,0.686674669867947
"80",4,4,0.705426356589147
"81",4,5,0.777070063694268
"82",4,6,0.769230769230769
"83",4,7,0.84
"84",4,8,1
"85",4,9,1
"86",5,-11,0
"87",5,-10,0
"88",5,-9,0.15
"89",5,-8,0.166666666666667
"90",5,-7,0.322916666666667
